date,consumption_kWh,temperature_hourly,temperature_day_mean,hour,weekday,month,day,hour_sin,hour_cos,weekday_sin,weekday_cos,month_sin,month_cos,temp_yesterday,temp_day_before_yesterday,temp_trend,temperature_day_mean_smoothed,is_heating_period,is_holiday,is_weekend,temp_rolling_24h
2023-09-03 00:00:00+00:00,29.36456947640433,16.41083558821594,17.197378273486958,0,6,9,3,0.0,1.0,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,18.2381542994403,14.584199958254551,3.6539543411857487,18.1097160891307,0,0,True,18.194788631692244
2023-09-03 01:00:00+00:00,34.246224886825495,16.29776416146321,17.197378273486958,1,6,9,3,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,18.2381542994403,14.584199958254551,3.6539543411857487,18.040275195302964,0,0,True,18.15142296394419
2023-09-03 02:00:00+00:00,17.986968543635648,15.55705189599712,17.197378273486958,2,6,9,3,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,18.2381542994403,14.584199958254551,3.6539543411857487,17.96637041515793,0,0,True,18.108057296196133
2023-09-03 03:00:00+00:00,27.91896769333015,14.94876241053884,17.197378273486958,3,6,9,3,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,18.2381542994403,14.584199958254551,3.6539543411857487,17.88898160963754,0,0,True,18.064691628448077
2023-09-03 04:00:00+00:00,36.88328532661148,14.163599105398273,17.197378273486958,4,6,9,3,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,18.2381542994403,14.584199958254551,3.6539543411857487,17.80908863968377,0,0,True,18.02132596070002
2023-09-03 05:00:00+00:00,51.64379895477598,13.469580774306364,17.197378273486958,5,6,9,3,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,18.2381542994403,14.584199958254551,3.6539543411857487,17.727671366238578,0,0,True,17.977960292951966
2023-09-03 06:00:00+00:00,45.32694158120061,13.148545028896557,17.197378273486958,6,6,9,3,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,18.2381542994403,14.584199958254551,3.6539543411857487,17.645709650243923,0,0,True,17.93459462520391
2023-09-03 07:00:00+00:00,44.35967963999346,13.143140743009733,17.197378273486958,7,6,9,3,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,18.2381542994403,14.584199958254551,3.6539543411857487,17.564183352641756,0,0,True,17.89122895745585
2023-09-03 08:00:00+00:00,36.28100819502819,14.081017273678189,17.197378273486958,8,6,9,3,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,18.2381542994403,14.584199958254551,3.6539543411857487,17.484072334374048,0,0,True,17.847863289707796
2023-09-03 09:00:00+00:00,39.92386998759896,15.13307164499359,17.197378273486958,9,6,9,3,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,18.2381542994403,14.584199958254551,3.6539543411857487,17.406356456382753,0,0,True,17.80449762195974
2023-09-03 10:00:00+00:00,30.719326825860183,16.046149712662967,17.197378273486958,10,6,9,3,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,18.2381542994403,14.584199958254551,3.6539543411857487,17.332015579609834,0,0,True,17.761131954211688
2023-09-03 11:00:00+00:00,32.12503568811377,17.68448961989293,17.197378273486958,11,6,9,3,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,18.2381542994403,14.584199958254551,3.6539543411857487,17.26202956499725,0,0,True,17.71776628646363
2023-09-03 12:00:00+00:00,24.692326796707,18.88514032043206,17.197378273486958,12,6,9,3,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,18.2381542994403,14.584199958254551,3.6539543411857487,17.197378273486958,0,0,True,17.674400618715573
2023-09-03 13:00:00+00:00,26.4943523531103,20.695014104823763,17.197378273486958,13,6,9,3,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,18.2381542994403,14.584199958254551,3.6539543411857487,17.13888258086484,0,0,True,17.631034950967518
2023-09-03 14:00:00+00:00,32.7428155465658,21.36140586425349,17.197378273486958,14,6,9,3,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,18.2381542994403,14.584199958254551,3.6539543411857487,17.086727422292427,0,0,True,17.58766928321946
2023-09-03 15:00:00+00:00,25.05720192342817,21.67692294440868,17.197378273486958,15,6,9,3,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,18.2381542994403,14.584199958254551,3.6539543411857487,17.040938747775176,0,0,True,17.544303615471406
2023-09-03 16:00:00+00:00,26.342052698323908,21.568473500125144,17.197378273486958,16,6,9,3,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,18.2381542994403,14.584199958254551,3.6539543411857487,17.001542507318536,0,0,True,17.50093794772335
2023-09-03 17:00:00+00:00,23.690532705645808,21.564560070065504,17.197378273486958,17,6,9,3,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,18.2381542994403,14.584199958254551,3.6539543411857487,16.96856465092797,0,0,True,17.45757227997529
2023-09-03 18:00:00+00:00,30.177478722784876,21.51924724797826,17.197378273486958,18,6,9,3,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,18.2381542994403,14.584199958254551,3.6539543411857487,16.942031128608924,0,0,True,17.414206612227236
