date,consumption_kWh,temperature_hourly,temperature_day_mean,hour,weekday,month,day,season,hour_sin,hour_cos,weekday_sin,weekday_cos,month_sin,month_cos,temp_yesterday,temp_day_before_yesterday,temp_trend,temperature_day_mean_smoothed,temp_rolling_24h,is_heating_period,is_holiday,is_weekend
2024-02-20 17:00:00,1.4713562093028472,10.016319444470517,8.157560430366752,17,1,2,20,Winter,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,8.714083417079449,9.155903555549097,-0.44182013846964807,8.213600234166659,8.023015088461941,1,0,False
2024-02-20 18:00:00,1.658502401982168,9.23360052002879,8.157560430366752,18,1,2,20,Winter,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,8.714083417079449,9.155903555549097,-0.44182013846964807,8.236169745502009,8.045879375537552,1,0,False
2024-02-20 19:00:00,1.919973458824047,8.425469243832271,8.157560430366752,19,1,2,20,Winter,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,8.714083417079449,9.155903555549097,-0.44182013846964807,8.262513111018922,8.04687464016583,1,0,False
2024-02-20 20:00:00,1.7815512632404442,8.528636756494162,8.157560430366752,20,1,2,20,Winter,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,8.714083417079449,9.155903555549097,-0.44182013846964807,8.292624618141595,8.0545774037771,1,0,False
2024-02-20 21:00:00,1.446037768474861,8.5560682646074,8.157560430366752,21,1,2,20,Winter,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,8.714083417079449,9.155903555549097,-0.44182013846964807,8.326498554294215,8.068495518630149,1,0,False
2024-02-20 22:00:00,1.5117363243553232,8.483657759574804,8.157560430366752,22,1,2,20,Winter,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,8.714083417079449,9.155903555549097,-0.44182013846964807,8.364129206900978,8.102310193467188,1,0,False
2024-02-20 23:00:00,1.2146682150500765,8.545180873870395,8.157560430366752,23,1,2,20,Winter,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,8.714083417079449,9.155903555549097,-0.44182013846964807,8.40551086338607,8.157560430366752,1,0,False
2024-02-21 00:00:00,1.211575291680031,8.482890473470357,9.282214528627108,0,2,2,21,Winter,0.0,1.0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,8.157560430366752,8.714083417079449,-0.5565229867126966,8.450637811173682,8.208117716002585,1,0,False
2024-02-21 01:00:00,1.3679303960989075,8.521547889704243,9.282214528627108,1,2,2,21,Winter,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,8.157560430366752,8.714083417079449,-0.5565229867126966,8.499504337688006,8.270548665434228,1,0,False
2024-02-21 02:00:00,1.2771632265220758,8.413959724646332,9.282214528627108,2,2,2,21,Winter,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,8.157560430366752,8.714083417079449,-0.5565229867126966,8.552104730353234,8.357629397046486,1,0,False
2024-02-21 03:00:00,1.3208413826866865,8.328304891583146,9.282214528627108,3,2,2,21,Winter,0.7071067811865476,0.7071067811865476,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,8.157560430366752,8.714083417079449,-0.5565229867126966,8.608433276593553,8.46883452402045,1,0,False
2024-02-21 04:00:00,1.3730674497572124,7.946194151765168,9.282214528627108,4,2,2,21,Winter,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,8.157560430366752,8.714083417079449,-0.5565229867126966,8.668484263833157,8.576680766561948,1,0,False
2024-02-21 05:00:00,1.5603910855005116,8.21006808915515,9.282214528627108,5,2,2,21,Winter,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,8.157560430366752,8.714083417079449,-0.5565229867126966,8.732251979496237,8.675942898809465,1,0,False
2024-02-21 06:00:00,1.5289438850422112,8.333332061767578,9.282214528627108,6,2,2,21,Winter,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,8.157560430366752,8.714083417079449,-0.5565229867126966,8.799730711006982,8.784675924995932,1,0,False
2024-02-21 07:00:00,1.6508595179435714,8.391014035538714,9.282214528627108,7,2,2,21,Winter,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,8.157560430366752,8.714083417079449,-0.5565229867126966,8.870914745789582,8.891503375103953,1,0,False
2024-02-21 08:00:00,1.5971586611821058,8.65364454686898,9.282214528627108,8,2,2,21,Winter,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,8.157560430366752,8.714083417079449,-0.5565229867126966,8.945798371268229,8.988053435878728,1,0,False
2024-02-21 09:00:00,1.7021331335838332,9.372552462648263,9.282214528627108,9,2,2,21,Winter,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,8.157560430366752,8.714083417079449,-0.5565229867126966,9.024375874867117,9.060990533384073,1,0,False
2024-02-21 10:00:00,1.4436753407304197,9.813850807630192,9.282214528627108,10,2,2,21,Winter,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,8.157560430366752,8.714083417079449,-0.5565229867126966,9.10664154401043,9.095593986861173,1,0,False
2024-02-21 11:00:00,1.488291119605663,9.506616862617602,9.282214528627108,11,2,2,21,Winter,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,8.157560430366752,8.714083417079449,-0.5565229867126966,9.192589666122366,9.083954783766172,1,0,False
2024-02-21 12:00:00,1.72136112581271,9.689133984057406,9.282214528627108,12,2,2,21,Winter,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,8.157560430366752,8.714083417079449,-0.5565229867126966,9.282214528627108,9.05073178087455,1,0,False
2024-02-21 13:00:00,1.4936566318943354,11.06682517377132,9.282214528627108,13,2,2,21,Winter,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,8.157560430366752,8.714083417079449,-0.5565229867126966,9.375371477056044,9.072438925057204,1,0,False
2024-02-21 14:00:00,0.9105466195869524,11.725425402316862,9.282214528627108,14,2,2,21,Winter,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,8.157560430366752,8.714083417079449,-0.5565229867126966,9.471360089369309,9.1187234407375,1,0,False
